Quantity 1,Part Reference,Manufacturer Part Number,Manufacturer,Digi-Key Part Number,Description,Footprint,DNI,
6,C8 C9 C10 C11 C13 C14,C0603C105K8PACTU,KEMET (VA),399-3118-1-ND,CAP CER 1UF 10V 10% X5R 0603?ÿ ,603,,
1,UC1,STM32F411RCT6,ST MICROELECTRONICS,497-14908-ND,IC MCU 256KB FLASH DSP 64LQFP?ÿ ,64LQFP,,
1,USB,690-005-299-043,EDAC INC (VA) ,151-1206-1-ND,CONN MINI USB RCPT RA TYPE B SMD?ÿ ,SMD,,
1,D1,"PMEG2010BEA,115",NXP SEMICONDUCTORS (VA) ,568-7389-1-ND,DIODE SCHOTTKY 20V 1A SOD323?ÿ ,SOD23,,
1,C4,C0603C103K5RACTU,KEMET (VA),399-1091-1-ND,CAP CER 10000PF 50V 10% X7R 0603?ÿ ,603,,
1,C16,JMK212BJ475KG-T,TAIYO YUDEN (VA) ,587-1302-1-ND,CAP CER 4.7UF 6.3V 10% X5R 0805?ÿ ,805,,
2,S1 S2,APT1608SGC,KINGBRIGHT COMPANY LLC (VA) ,754-1121-1-ND,LED 1.6X0.8MM 568NM GRN CLR SMD?ÿ ,1.6X0.8MM SMD,,
2,B1 B2,FSMSM,TE CONNECTIVITY ALCOSWITCH ,450-1140-ND,SWITCH TACTILE SPST-NO 0.05A 12V?ÿ,SWITCH SPST-NO,,
2,R3 R4,742C083331JP,CTS RESISTOR PRODUCTS (VA) ,742C083331JPCT,RES ARRAY 330 OHM 4 RES 1206?ÿ,1206,,
1,Q2,IRLML6402TRPBF,INTERNATIONAL RECTIFIER (VA) ,IRLML6402PBFCT-ND,MOSFET P-CH 20V 3.7A SOT-23?ÿ,SOT-23,,
5,C1 C2 C3 C6 C12,C0603C104K4RACTU,KEMET (VA) ,399-1096-1-ND,CAP CER 0.1UF 16V 10% X7R 0603?ÿ ,603,,
4,R8 R9 R10 R11,RC0603FR-07470RL,YAGEO (VA),311-470HRCT-ND,RES 470 OHM 1/10W 1% 0603 SMD?ÿ ,603,,
2,C5 C15,GRM21BR60J106ME19L,MURATA ELECTRONICS (VA) ,490-1718-1-ND,CAP CER 10UF 6.3V 20% X5R 0805?ÿ,805,,
1,OSC1,7B-8.000MAAJ-T,TXC CORPORATION (VA) ,887-1452-1-ND,CRYSTAL 8MHZ 18PF SMD?ÿ,4-SMD,,
2,R13 R15,RC0603FR-0710KL,YAGEO (VA) ,311-10.0KHRCT-ND,RES 10K OHM 1/10W 1% 0603 SMD?ÿ ,603,,
1,F1,MF-FSMF035X-2,BOURNS INC (VA) ,MF-FSMF035X-2CT-ND,FUSE PTC RESET 350MA SMD 0603 ,603,,
1,IC3,USBUF01W6,STMICROELECTRONICS (VA) ,497-3087-1-ND,IC EMI FLTR/LINE TERM SOT323-6?ÿ ,SOT323-6,,
2,C17 C18,C0603C180J5GACTU,KEMET (VA) ,399-1052-1-ND,CAP CER 18PF 50V 5% NP0 0603?ÿ ,603,,
1,LED4,APT1608SURCK,KINGBRIGHT COMPANY LLC (VA) ,754-1123-1-ND,LED 1.6X0.8MM 630NM RED CLR SMD?ÿ,1.xX0.8MM SMD,,
5,R1 R2 R7 R12 R14,RC0603FR-071KL,YAGEO (VA) ,311-1.00KHRCT-ND,RES 1K OHM 1/10W 1% 0603 SMD?ÿ ,603,,
1,U2,MPU-9250,INVENSENSE,1428-1019-1-ND,GYRO/ACCEL/COMPASS/9-AXIS?ÿ ,QFN24,,
1,IC2,MCP1703T-3302E/DB,MICROCHIP TECHNOLOGY (VA) ,MCP1703T-3302E/DBCT-ND,IC REG LDO 3.3V 0.25A SOT223-3?ÿ,SOT223-3,,
1,T1,"PDTA114ET,215",NXP SEMICONDUCTORS (VA) ,568-6425-1-ND,TRANS PREBIAS PNP 250MW TO236AB?ÿ ,TO236AB,,
1,IC1,LM2904DR,TEXAS INSTRUMENTS (VA) ,296-14596-1-ND,IC OPAMP GP 700KHZ 8SOIC,8SOIC,,
1,U$2,SH2-34G-PT,ON SHORE TECHNOLOGY INC ,SH2-34G-PT-ND,"CONN RCPT .100"" 34POS DUAL GOLD?ÿ ",2x17 THROUGHHOLE CONN,,NOTE:  Install on Bottom-side of Board (see silkscreen)
1,SW1,219-2LPST,CTS ELECTROCOMPONENTS ,CT2192LPST-ND,SWITCH TAPE SEAL 2 POS SMD 50V?ÿ,4-SMD,,
1,Q1,IRFML8244TRPBF,INTERNATIONAL RECTIFIER (VA) ,IRFML8244TRPBFCT-ND,MOSFET N-CH 25V 5.8A SOT23?ÿ,SOT-23,,
1,C7,CC0805MKX5R5BB226,YAGEO (VA) ,311-1464-1-ND,CAP CER 22UF 6.3V 20% X5R 0805?ÿ ,805,,
1,LED1,APT1608SECK,KINGBRIGHT COMPANY LLC (VA) ,754-1120-1-ND,LED 1.6X0.8MM 601NM ORN CLR SMD?ÿ ,1.6X0.8MM SMD,,
2,R5 R6,RC0603JR-070RL,YAGEO (VA),311-0.0GRCT-ND,RES 0.0 OHM 1/10W JUMP 0603 SMD ,603,,
1,IO Voltage Connector Pins,STC02SYAN,SULLINS CONNECTOR SOLUTIONS,S9000-ND,CONN JUMPER SHORTING TIN ,JUMPER,,NOTE:  Select 3.3V IO Voltage by Default
30,Digital I/O Connectors,,,,".100"" Male Header Connectors, 3 Rows by 10 Pins (30 Total Pins)","CONN HEADER VERT .100"" (TIN)",,
12,Analog Input Connectors,,,,".100"" Male Header Connectors, 3 Rows by 4 Pins (12Total Pins)","CONN HEADER VERT .100"" (TIN)",,
6,Analog Output Connectors,,,,".100"" Male Header Connectors, 3 Rows by 2 Pins (6 Total Pins)","CONN HEADER VERT .100"" (TIN)",,
3,IO Voltage Connector,,,,".100"" Male Header Connectors, 1 Rows by 3 Pins (3 Total Pins)","CONN HEADER VERT .100"" (TIN)",,
4,UART Connector Pins,,,,".100"" Male Header Connectors, 1 Rows by 4 Pins (4 Total Pins)","CONN HEADER VERT .100"" (TIN)",,
4,I2C Connector Pins,,,,".100"" Male Header Connectors, 1 Rows by 4 Pins (4 Total Pins)","CONN HEADER VERT .100"" (TIN)",,
6,SPI Connector Pins,,,,".100"" Male Header Connectors, 1 Rows by 6 Pins (6 Total Pins)","CONN HEADER VERT .100"" (TIN)",,
